Speaker,Workshop,Date,Time
Eyke Hüllermeier,https://sites.google.com/view/eiml-eurips2025/home,2025-12-06,09:00–09:30
Fanny Yang,https://sites.google.com/view/eiml-eurips2025/home,2025-12-06,09:30–10:00
Ryan Martin,https://sites.google.com/view/eiml-eurips2025/home,2025-12-06,13:00–13:30
Fabio Cuzzolin,https://sites.google.com/view/eiml-eurips2025/home,2025-12-06,15:30–16:00

Petros Koumoutsakos,https://differentiable-systems.github.io/workshop-eurips-2025/,2025-12-06,Not sure
Patrick Kidger,https://differentiable-systems.github.io/workshop-eurips-2025/,2025-12-06,Not sure
Nils Thuerey,https://differentiable-systems.github.io/workshop-eurips-2025/,2025-12-06,Not sure
Astrid Walle,https://differentiable-systems.github.io/workshop-eurips-2025/,2025-12-06,Not sure

Desmond Elliott,https://multimodal-rep-learning-for-health.github.io/,2025-12-06,Not sure
Sonali Parbhoo,https://multimodal-rep-learning-for-health.github.io/,2025-12-06,Not sure
Stephanie Hyland,https://multimodal-rep-learning-for-health.github.io/,2025-12-06,Not sure
Rajesh Ranganath,https://multimodal-rep-learning-for-health.github.io/,2025-12-06,Not sure
Bianca Dumitrascu,https://multimodal-rep-learning-for-health.github.io/,2025-12-06,Not sure
Gunnar Rätsch,https://multimodal-rep-learning-for-health.github.io/,2025-12-06,Not sure

Isabelle Augenstein,https://sites.google.com/view/benchmarking-and-evaluating-ai,2025-12-06,Not sure
José Hernández-Orallo,https://sites.google.com/view/benchmarking-and-evaluating-ai,2025-12-06,Not sure
Gaël Varoquaux,https://sites.google.com/view/benchmarking-and-evaluating-ai,2025-12-06,Not sure
Laura Weidinger,https://sites.google.com/view/benchmarking-and-evaluating-ai,2025-12-06,Not sure
Emine Yilmaz,https://sites.google.com/view/benchmarking-and-evaluating-ai,2025-12-06,Not sure

Kathrin Grosse,https://llmsec-eurips.github.io/,2025-12-06,Not sure
Verena Rieser,https://llmsec-eurips.github.io/,2025-12-06,Not sure
Ilia Shumailov,https://llmsec-eurips.github.io/,2025-12-06,Not sure
Santiago Zanella-Béguelin,https://llmsec-eurips.github.io/,2025-12-06,Not sure

Philippe Ciais,https://sites.google.com/g.harvard.edu/aicceurips,2025-12-06,Not sure
Sagar Vaze,https://sites.google.com/g.harvard.edu/aicceurips,2025-12-06,Not sure
Verena C. Griess,https://sites.google.com/g.harvard.edu/aicceurips,2025-12-06,Not sure
Natalie Eva Iwanycki Ahlstrand,https://sites.google.com/g.harvard.edu/aicceurips,2025-12-06,Not sure
Drew Purves,https://sites.google.com/g.harvard.edu/aicceurips,2025-12-06,Not sure

Thomas Hamelryck,https://www.simbiochem.com/,2025-12-06,Not sure
Julija Zavadlav,https://www.simbiochem.com/,2025-12-06,Not sure
Gabor Csanyi,https://www.simbiochem.com/,2025-12-06,Not sure
Silvia Acosta Gutierrez,https://www.simbiochem.com/,2025-12-06,Not sure
Yu Xie,https://www.simbiochem.com/,2025-12-06,Not sure

Marine le Morvan,https://sites.google.com/view/eurips25-ai-td/home,2025-12-06,Not sure
Floris Geerts,https://sites.google.com/view/eurips25-ai-td/home,2025-12-06,Not sure
Mubashara Akhtar,https://sites.google.com/view/eurips25-ai-td/home,2025-12-06,Not sure

Loïc Lannelongue,https://rethinking-ai.github.io/,2025-12-06,Not sure
Claire Monteleoni,https://rethinking-ai.github.io/,2025-12-06,Not sure
Bernd Ensing,https://rethinking-ai.github.io/,2025-12-06,Not sure
Jan-Willem van de Meent,https://rethinking-ai.github.io/,2025-12-06,Not sure
Gaël Varoquaux,https://rethinking-ai.github.io/,2025-12-06,Not sure

Shai Ben-David,https://sites.google.com/view/towards-a-unified-view,2025-12-07,Not sure
Aasa Feragen,https://sites.google.com/view/towards-a-unified-view,2025-12-07,Not sure
Emanuele Francazi,https://sites.google.com/view/towards-a-unified-view,2025-12-07,Not sure
Levent Sagun,https://sites.google.com/view/towards-a-unified-view,2025-12-07,Not sure
Fanny Yang,https://sites.google.com/view/towards-a-unified-view,2025-12-07,Not sure

Aurélien Bellet,https://ppml-eurips-2025.github.io/,2025-12-07,Not sure
Tamalika Mukherjee,https://ppml-eurips-2025.github.io/,2025-12-07,Not sure
Antti Honkela,https://ppml-eurips-2025.github.io/,2025-12-07,Not sure
Rasmus Pagh,https://ppml-eurips-2025.github.io/,2025-12-07,Not sure
Catuscia Palamidessi,https://ppml-eurips-2025.github.io/,2025-12-07,Not sure
Sahra Ghalebikesabi,https://ppml-eurips-2025.github.io/,2025-12-07,Not sure

Gustau Camps-Valls,https://impact-25.causal.dev/,2025-12-07,Not sure
Paul Hünermund,https://impact-25.causal.dev/,2025-12-07,Not sure
Ruth Keogh,https://impact-25.causal.dev/,2025-12-07,Not sure

Elizabeth Baker,https://sites.google.com/view/prigm-eurips-2025/home,2025-12-07,Not sure
Sebastian Goldt,https://sites.google.com/view/prigm-eurips-2025/home,2025-12-07,Not sure
Gabriel Peyré,https://sites.google.com/view/prigm-eurips-2025/home,2025-12-07,Not sure
Anej Svete,https://sites.google.com/view/prigm-eurips-2025/home,2025-12-07,Not sure
Lenka Zdeborová,https://sites.google.com/view/prigm-eurips-2025/home,2025-12-07,Not sure

Anastassia Vorobieva,https://www.mlsb.io/,2025-12-07,Not sure
Patrick Bryant,https://www.mlsb.io/,2025-12-07,Not sure
Haris Saeed,https://www.mlsb.io/,2025-12-07,Not sure

Michal Kazmierski,https://sites.google.com/view/reoeurips,2025-12-07,Not sure
Gustau Camps,https://sites.google.com/view/reoeurips,2025-12-07,Not sure
Julia Gottfriedsen,https://sites.google.com/view/reoeurips,2025-12-07,Not sure
Bertrand Le Saux,https://sites.google.com/view/reoeurips,2025-12-07,Not sure
Ankit Kariryaa,https://sites.google.com/view/reoeurips,2025-12-07,Not sure

Yasin Abbasi-Yadkori,https://sites.google.com/view/metacognitiongenai,2025-12-07,Not sure
Moriz Hardt,https://sites.google.com/view/metacognitiongenai,2025-12-07,Not sure
Kai Sandbrink,https://sites.google.com/view/metacognitiongenai,2025-12-07,Not sure
Greta Warren,https://sites.google.com/view/metacognitiongenai,2025-12-07,Not sure
Nick Yeung,https://sites.google.com/view/metacognitiongenai,2025-12-07,Not sure

Daniel Coelho de Castro,https://sites.google.com/view/medeurips,2025-12-07,Not sure
Christian F Baumgartner,https://sites.google.com/view/medeurips,2025-12-07,Not sure
Veronika Cheplygina,https://sites.google.com/view/medeurips,2025-12-07,Not sure

Gabriel Weil,https://sites.google.com/adalovelaceinstitute.org/paig-eurips,2025-12-07,Not sure
Oliver Makins,https://sites.google.com/adalovelaceinstitute.org/paig-eurips,2025-12-07,Not sure
Annika Hallensleben,https://sites.google.com/adalovelaceinstitute.org/paig-eurips,2025-12-07,Not sure
