Speaker,Workshop,Date,Time
Katerina Fragkiadaki,https://motchallenge.net/workshops/bmtt2025/,2025-10-19,09:00–09:25
Philipp Krähenbühl,https://motchallenge.net/workshops/bmtt2025/,2025-10-19,09:45–10:10
Zheng (Thomas) Tang,https://motchallenge.net/workshops/bmtt2025/,2025-10-19,10:40–11:05
Pascal Fua,https://motchallenge.net/workshops/bmtt2025/,2025-10-19,11:25–11:50
Noa Garcia,https://stream-workshop.github.io/stream-workshop/program/,2025-10-19,08:15–09:00
Nikki Popee,https://stream-workshop.github.io/stream-workshop/program/,2025-10-19,10:15–11:00
Tae-Kyun Kim,https://affective-behavior-analysis-in-the-wild.github.io/9th/,2025-10-19,Not sure
Eric Granger,https://affective-behavior-analysis-in-the-wild.github.io/9th/,2025-10-19,Not sure
Ying Tai,https://affective-behavior-analysis-in-the-wild.github.io/9th/,2025-10-19,Not sure
Sheng Liu,https://cvamd.github.io/CVAMD2025/,2025-10-19,09:10–09:35
Akshay Chaudhari,https://cvamd.github.io/CVAMD2025/,2025-10-19,10:50–11:15
Faisal Mahmood,https://cvamd.github.io/CVAMD2025/,2025-10-19,11:15–11:40
Lei Xing,https://cvamd.github.io/CVAMD2025/,2025-10-19,11:40–12:05
Zongwei Zhou,https://cvamd.github.io/CVAMD2025/,2025-10-19,13:25–13:50
Daguang Xu,https://cvamd.github.io/CVAMD2025/,2025-10-19,13:50–14:15
Serena Yeung,https://cvamd.github.io/CVAMD2025/,2025-10-19,14:15–14:40
Adam Yala,https://cvamd.github.io/CVAMD2025/,2025-10-19,15:55–16:20
James Zou,https://cvamd.github.io/CVAMD2025/,2025-10-19,16:20–16:45
Shalini De Mello,https://sites.google.com/berkeley.edu/apai-iccv2025/,2025-10-19,08:45–09:30
Sébastien Marcel,https://sites.google.com/berkeley.edu/apai-iccv2025/,2025-10-19,14:30–15:15
Walter J. Scheirer,https://2coool.net/,2025-10-19,09:15–09:40
Manmohan Chandraker,https://2coool.net/,2025-10-19,09:40–10:05
