Speaker,Workshop,Date,Time
Beidi Chen,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Arman Cohan,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Jonas Geiping,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Haibin Lin,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Niklas Muennighoff,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Hongyu Ren,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Yuandong Tian,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure
Hao Zhang,https://efficient-reasoning.github.io/#program,2025-12-06,Not sure

Jiaxin Shi,https://spigmworkshopv3.github.io/,2025-12-06,8:40 - 9:10
Chelsea Finn,https://spigmworkshopv3.github.io/,2025-12-06,9:10 - 9:40
Andrew Gordon Wilson,https://spigmworkshopv3.github.io/,2025-12-06,10:30 - 11:00
Arash Vahdat,https://spigmworkshopv3.github.io/,2025-12-06,13:30 - 14:00
Ruiqi Gao,https://spigmworkshopv3.github.io/,2025-12-06,14:00 - 14:30
Rianne van den Berg,https://spigmworkshopv3.github.io/,2025-12-06,14:40 - 15:10

Surbhi Goel,https://reliablemlworkshop.github.io/,2025-12-06,Not sure
Steve Hanneke,https://reliablemlworkshop.github.io/,2025-12-06,Not sure
Chris Harshaw,https://reliablemlworkshop.github.io/,2025-12-06,Not sure
Amin Karbasi,https://reliablemlworkshop.github.io/,2025-12-06,Not sure
Samory Kpotufe,https://reliablemlworkshop.github.io/,2025-12-06,Not sure

Mark Plumbley,https://genprocc.github.io/,2025-12-06,8:10 - 8:55
Luba Elliott,https://genprocc.github.io/,2025-12-06,9:45 - 10:30
Nanyun (Violet) Peng,https://genprocc.github.io/,2025-12-06,10:30 - 11:15
Chris Donahue,https://genprocc.github.io/,2025-12-06,12:30 - 13:15
Adam Cole,https://genprocc.github.io/,2025-12-06,13:15 - 14:00
Yu-Chiang Frank Wang,https://genprocc.github.io/,2025-12-06,14:00 - 14:45

Ming-Yu Liu,https://what-makes-good-video.github.io/,2025-12-06,Not sure
Ming-Hsuan Yang,https://what-makes-good-video.github.io/,2025-12-06,Not sure
Saining Xie,https://what-makes-good-video.github.io/,2025-12-06,Not sure
Jiajun Wu,https://what-makes-good-video.github.io/,2025-12-06,Not sure
Dima Damen,https://what-makes-good-video.github.io/,2025-12-06,Not sure
Yi Jiang,https://what-makes-good-video.github.io/,2025-12-06,Not sure
Xun Huang,https://what-makes-good-video.github.io/,2025-12-06,Not sure

R. Srikant,https://mlxor-workshop.github.io/,2025-12-06,8:30 - 9:00
Eric Moulines,https://mlxor-workshop.github.io/,2025-12-06,9:00 - 9:30
Mengdi Wang,https://mlxor-workshop.github.io/,2025-12-06,12:25 - 12:55
Peter Frazier,https://mlxor-workshop.github.io/,2025-12-06,14:10 - 14:40
Phil Kaminsky,https://mlxor-workshop.github.io/,2025-12-06,14:40 - 15:10

Hubert Banville,https://brainbodyfm-workshop.github.io/,2025-12-06,9:00 - 9:30
Juan Helen Zhou,https://brainbodyfm-workshop.github.io/,2025-12-06,9:30 - 10:00
Cuntai Guan,https://brainbodyfm-workshop.github.io/,2025-12-06,13:00 - 13:30
Guillermo Sapiro,https://brainbodyfm-workshop.github.io/,2025-12-06,13:30 - 14:00
Eva Dyer,https://brainbodyfm-workshop.github.io/,2025-12-06,14:15 - 14:45
Tom Oxley,https://brainbodyfm-workshop.github.io/,2025-12-06,14:45 - 15:15

Yoshua Bengio,https://biosafe-gen-ai.github.io/,2025-12-06,9:05 – 9:35
Peter Henderson,https://biosafe-gen-ai.github.io/,2025-12-06,9:35 – 10:05
Sheng Lin-Gibson,https://biosafe-gen-ai.github.io/,2025-12-06,10:05 – 10:35
Megan Blewett,https://biosafe-gen-ai.github.io/,2025-12-06,10:45 – 11:15
George Church,https://biosafe-gen-ai.github.io/,2025-12-06,11:15 – 11:45
Jian Ma,https://biosafe-gen-ai.github.io/,2025-12-06,1:40 – 2:10
Russ Altman,https://biosafe-gen-ai.github.io/,2025-12-06,2:10 – 2:40
Eric Xing,https://biosafe-gen-ai.github.io/,2025-12-06,3:35 – 4:05
Theofanis Karaletsos,https://biosafe-gen-ai.github.io/,2025-12-06,4:05 – 4:35

Alex Zhavoronkov,https://ai4d3.github.io/2025/index.html,2025-12-06,Not sure
Rick L. Stevens,https://ai4d3.github.io/2025/index.html,2025-12-06,Not sure
Jinbo Xu,https://ai4d3.github.io/2025/index.html,2025-12-06,Not sure
Eric P. Xing,https://ai4d3.github.io/2025/index.html,2025-12-06,Not sure
Mengdi Wang,https://ai4d3.github.io/2025/index.html,2025-12-06,Not sure
Linda Goodman,https://ai4d3.github.io/2025/index.html,2025-12-06,Not sure

Laela Sayigh,https://aiforanimalcomms.org/,2025-12-06,09:15 - 10:15
